transcript,toxin,family,present,altname
myotoxin1,myotoxin,myotoxin,yes,myotoxin1
fgenesh-scaffold-mi2-venom-gene-3.1,SVSP1,SVSP,yes,nbis-gene-12_crovir-transcript-SVSP_1
fgenesh-scaffold-mi2-venom-gene-3.2,SVSP2,SVSP,yes,nbis-gene-15_crovir-transcript-SVSP_2
fgenesh-scaffold-mi2-venom-gene-3.3,SVSP3,SVSP,yes,nbis-gene-16_crovir-transcript-SVSP_3
fgenesh-scaffold-mi2-venom-gene-3.4,SVSP4,SVSP,yes,nbis-gene-17_crovir-transcript-SVSP_4
fgenesh-scaffold-mi2-venom-gene-3.5,SVSP5,SVSP,yes,nbis-gene-18_crovir-transcript-SVSP_5
fgenesh-scaffold-mi2-venom-gene-3.6,SVSP6,SVSP,yes,nbis-gene-19_crovir-transcript-SVSP_6
fgenesh-scaffold-mi2-venom-gene-3.7,SVSP7,SVSP,yes,nbis-gene-20_crovir-transcript-SVSP_7
fgenesh-scaffold-mi2-venom-gene-3.8,SVSP8,SVSP,yes,nbis-gene-21_crovir-transcript-SVSP_8
fgenesh-scaffold-mi2-venom-gene-3.9,SVSP9,SVSP,yes,nbis-gene-22_crovir-transcript-SVSP_9
fgenesh-scaffold-mi2-venom-gene-3.10,SVSP10,SVSP,no,nbis-gene-13_crovir-transcript-SVSP_10
fgenesh-scaffold-mi2-venom-gene-3.11,SVSP11,SVSP,no,nbis-gene-14_crovir-transcript-SVSP_11
fgenesh-scaffold-mi1-venom-gene-2.1,SVMP1,SVMP,yes,nbis-gene-1_crovir-transcript-SVMP_1
fgenesh-scaffold-mi1-venom-gene-2.2,SVMP2,SVMP,yes,nbis-gene-4_crovir-transcript-SVMP_2
fgenesh-scaffold-mi1-venom-gene-2.3,SVMP3,SVMP,yes,nbis-gene-5_crovir-transcript-SVMP_3
fgenesh-scaffold-mi1-venom-gene-2.4,SVMP4,SVMP,yes,nbis-gene-6_crovir-transcript-SVMP_4
fgenesh-scaffold-mi1-venom-gene-2.5,SVMP5,SVMP,yes,nbis-gene-7_crovir-transcript-SVMP_5
fgenesh-scaffold-mi1-venom-gene-2.6,SVMP6,SVMP,yes,nbis-gene-8_crovir-transcript-SVMP_6
fgenesh-scaffold-mi1-venom-gene-2.7,SVMP7,SVMP,yes,nbis-gene-9_crovir-transcript-SVMP_7
fgenesh-scaffold-mi1-venom-gene-2.8,SVMP8,SVMP,yes,nbis-gene-10_crovir-transcript-SVMP_8
fgenesh-scaffold-mi1-venom-gene-2.9,SVMP9,SVMP,yes,nbis-gene-11_crovir-transcript-SVMP_9
fgenesh-scaffold-mi1-venom-gene-2.10,SVMP10,SVMP,yes,nbis-gene-2_crovir-transcript-SVMP_10
fgenesh-scaffold-mi1-venom-gene-2.11,SVMP11,SVMP,no,nbis-gene-3_crovir-transcript-SVMP_11
fgenesh-scaffold-mi7-venom-gene-1.5,PLA2A1,PLA2,yes,nbis-gene-27_crovir-transcript-PLA2_A1
fgenesh-scaffold-mi7-venom-gene-1.2,PLA2B1,PLA2,yes,nbis-gene-24_crovir-transcript-PLA2_B1
fgenesh-scaffold-mi7-venom-gene-1.4,PLA2C1,PLA2,yes,nbis-gene-26_crovir-transcript-PLA2_C1
fgenesh-scaffold-mi7-venom-gene-1.3,PLA2K,PLA2,no,nbis-gene-25_crovir-transcript-PLA2_K
maker-scaffold-un187-augustus-gene-0.1,BPP,BPP,yes,maker-scaffold-un187-augustus-gene-0.1
maker-scaffold-ma2-augustus-gene-15.17,LAAO1,LAAO,yes,maker-scaffold-ma2-augustus-gene-15.17
maker-scaffold-ma2-augustus-gene-15.18,LAAO2,LAAO,no,maker-scaffold-ma2-augustus-gene-15.18
maker-scaffold-ma4-augustus-gene-284.10,LAAO3,LAAO,yes,maker-scaffold-ma4-augustus-gene-284.10
maker-scaffold-ma1-augustus-gene-564.1,CRISP1,CRISP,yes,maker-scaffold-ma1-augustus-gene-564.1
maker-scaffold-ma1-augustus-gene-564.2,CRISP2,CRISP,no,maker-scaffold-ma1-augustus-gene-564.2
maker-scaffold-ma2-augustus-gene-14.15,ohanin,ohanin,yes,maker-scaffold-ma2-augustus-gene-14.15
maker-scaffold-ma6-augustus-gene-42.10,EXO1,EXO,yes,maker-scaffold-ma6-augustus-gene-42.10
maker-scaffold-mi3-augustus-gene-34.12,EXO2,EXO,yes,maker-scaffold-mi3-augustus-gene-34.12
maker-scaffold-mi7-augustus-gene-27.16,EXO3,EXO,yes,maker-scaffold-mi7-augustus-gene-27.16
maker-scaffold-ma1-augustus-gene-867.2,VEGF1,VEGF,yes,maker-scaffold-ma1-augustus-gene-867.2
maker-scaffold-ma7-augustus-gene-134.2,VEGF2,VEGF,no,maker-scaffold-ma7-augustus-gene-134.2
maker-scaffold-ma1-augustus-gene-855.11,vQC1,GC,yes,maker-scaffold-ma1-augustus-gene-855.11
maker-scaffold-mi7-augustus-gene-17.22,vQC2,GC,yes,maker-scaffold-mi7-augustus-gene-17.22
maker-scaffold-mi1-augustus-gene-48.17,ADAM28_1,disintegrin,no,maker-scaffold-mi1-augustus-gene-48.17
maker-scaffold-mi1-augustus-gene-48.19,ADAM28_2,disintegrin,no,maker-scaffold-mi1-augustus-gene-48.19
maker-scaffold-mi5-augustus-gene-11.7,CTL_1,CTL,no,maker-scaffold-mi5-augustus-gene-11.7
maker-scaffold-mi5-augustus-gene-38.4,CTL_2,CTL,yes,maker-scaffold-mi5-augustus-gene-38.4
maker-scaffold-Z-augustus-gene-73.7,CTL_3,CTL,no,maker-scaffold-Z-augustus-gene-73.7
augustus-masked-scaffold-Z-processed-gene-72.2,CTL_4,CTL,no,augustus_masked-scaffold-Z-processed-gene-72.2
maker-scaffold-Z-augustus-gene-72.8,CTL_5,CTL,no,maker-scaffold-Z-augustus-gene-72.8
augustus-masked-scaffold-Z-processed-gene-360.11,CTL_6,CTL,no,augustus_masked-scaffold-Z-processed-gene-360.11
maker-scaffold-ma3-augustus-gene-84.4,CRISP_3,CRISP,no,maker-scaffold-ma3-augustus-gene-84.4
maker-scaffold-mi6-augustus-gene-3.15,CRISP_4,CRISP,no,maker-scaffold-mi6-augustus-gene-3.15